pool_name,pool_address,pool_data,total_liquidity
WMATIC/WETH (0.05%),0x1a34EaBbe928Bf431B679959379b2225d60D9cdA,"[((b'\xdb\x98\xbe>\x08f;\x851!\x11@9\xde\xfdw\xa8\x08a}K1\xd1\x1c\x95+\xa0\xe3t\x8c.l', '0x1a34EaBbe928Bf431B679959379b2225d60D9cdA', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 136157553873745179309564, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 2164258897914194248381304), ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 237191023809717816773), 'oRETRO', 18)]",1466628.84
WMATIC/USDC (0.05%),0xEC15624FBB314eb05BaaD4cA49b7904C0Cb6b645,"[((b'\x18\xad\xd7\x80l\xd9V\xac\xc3c\xc6;\xdb\xe6\xa2\x1f\xdd\xf5\xb1\xce\x873\x94^""\x90\xb5\xe8\x99\xc4\'\x19', '0xEC15624FBB314eb05BaaD4cA49b7904C0Cb6b645', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 146942478247168273545299, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 1441157132386791328526962), ('0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 6, 'USDC', 188329382970), 'oRETRO', 18)]",912873.87
USDC/WETH (0.05%),0xCE67850420c82dB45eb7fEeCcD2d181300D2BDB3,"[((b'\x97a+\\\x11\xdd\xeb\x08&\x1de\xf2\x8d\xb8\x9e\xbc\xba\x13\xe5\xb1\xc8\xf6\xce\xa3\xba\xa2Q\x843I\x1bY', '0xCE67850420c82dB45eb7fEeCcD2d181300D2BDB3', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 204037928636564805892961, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 6, 'USDC', 545651203492), ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 729610268014665000473), 'oRETRO', 18)]",1709980.51
WBTC/WETH (0.05%),0xb694E3bdd4BCdF843510983D257679D1E627C474,"[((b'\xf8\xc2}\xaa\x92&>\xd4\xa4\\C\xa7|\xc7u\x91W\x17\xff\xf2\x92U\x1b\x82\x81O(D\x10\x08y:', '0xb694E3bdd4BCdF843510983D257679D1E627C474', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 48338650075829734110640, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6', 8, 'WBTC', 1497496348), ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 365874405652793577308), 'oRETRO', 18)]",977609.73
WMATIC/USDT (0.05%),0xB580229645b240A368768ec3E88cb67A41eBBC5B,"[((b'\xfcs\xf5\xb9\xaf\xbc\x80>\xe8\xac\xe13/K\x00\x99\xad\xed\xab\x1f0}x\xa3Y\xd20\x14t\xc8\xa8x', '0xB580229645b240A368768ec3E88cb67A41eBBC5B', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 813567841427548923630, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 13159738639077967867804), ('0xc2132D05D31c914a87C6611C10748AEb04B58e8F', 6, 'USDT', 3126523474), 'oRETRO', 18)]",9740.58
WMATIC/CASH (0.05%),0x63ca6ED3D390C725b7FEb617BAdcab78a61038E8,"[((b""\xc9Y\x13(\x9aQ\xa6\x89\x04\x7f\x99\x85\xcby\xf5q\xbd\xfa\xdc\xba\x95J,\x15\xfd\x1bE'bM\xca\xe8"", '0x63ca6ED3D390C725b7FEb617BAdcab78a61038E8', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 761399095124971889939, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 19129934776245655357778), ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 2915949437387636774794), 'oRETRO', 18)]",12529.65
CASH/WETH (0.05%),0x0A46B0712974F201BeD15c2458a023EbED25eF4F,"[((b'\xe9\xf9\x9d{\x08\x83\xed\xaf\x8d8\x1a\xa3\xb8\xd7m\x12/\x96\xdd\xe2=\xd1\xff\xd9\xbd\xfbO\xd6\xef\xea}\x99', '0x0A46B0712974F201BeD15c2458a023EbED25eF4F', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 607852874807719682945, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 8067889891840334954266), ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 3967374773640419633), 'oRETRO', 18)]",14388.07
USDC/CASH (0.01%),0x619259F699839dD1498FFC22297044462483bD27,"[((b'\xf2\xfa\xbb~\x8c^\x9d\x9f%!E\xae\xc0\n!\xc2\x83T\xe5:b(\xa5\xd6x\xf8\x04E@\xa9s5', '0x619259F699839dD1498FFC22297044462483bD27', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 152678228025318234624394, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 6, 'USDC', 535355986783), ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 1579746696998617003639705), 'oRETRO', 18)]",2112868.9
CASH/USDT (0.01%),0x160FBF00AB5fbF0200c0Cd4929aEaa2AdD25FB5b,"[((b'\xf8eq\x8f\xc9\xc6\x855\xc5Ma%>\x18\xc3\xe40s\x8e\x08%\xab&\xf4\xf4\xaf\xaf\xa2\xbf\x13\xae|', '0x160FBF00AB5fbF0200c0Cd4929aEaa2AdD25FB5b', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 50224669020216427740, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 235268188927420203290), ('0xc2132D05D31c914a87C6611C10748AEb04B58e8F', 6, 'USDT', 119848161), 'oRETRO', 18)]",354.71
CASH/MaticX (0.05%),0xb98F8DF0DC6750A3e54540A1e094186C8bED780a,"[((b'\x13\xc7\xbf\xd7\xc4\xdcUO\xc6\x06c\x82y\xaa\xc1\x8b\xf5:\xe8r\x96\x9d\xd38o\nyKGm3\x94', '0xb98F8DF0DC6750A3e54540A1e094186C8bED780a', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 532949326872798639931, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 502799415196142115470), ('0xfa68FB4628DFF1028CFEc22b4162FCcd0d45efb6', 18, 'MaticX', 7460853928799144295895), 'oRETRO', 18)]",4553.04
