pool_name,pool_address,pool_data,total_liquidity
WMATIC/WETH (0.05%),0x1a34EaBbe928Bf431B679959379b2225d60D9cdA,"[((b'\xd2]\xd3h\xa6\x99d\xbe!\xa885z\xd0\xc0),\xdd~\xfa\r\xfb\x00\xa8\x14\xa1\xa9A\xce\xab\xa5\xb0', '0x1a34EaBbe928Bf431B679959379b2225d60D9cdA', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 407877206989280937511210, [], [], 100, 100, 9800, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 1098462873367209084980910), ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 200538527221093613557), 'oRETRO', 18)]",1230776.0
WMATIC/USDC (0.05%),0xEC15624FBB314eb05BaaD4cA49b7904C0Cb6b645,"[((b'\x02\xf4\x91O47\x1d\xea\x0b\x9b\xa4\xde\t\xb0\x8c\xdbo_\xcb\xe6\x7f\xe8\x86\x0f\xde)o\x1dT|f\xcc', '0xEC15624FBB314eb05BaaD4cA49b7904C0Cb6b645', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 267012064213070460875306, [], [], 100, 100, 9800, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 488528995534263546687859), ('0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 6, 'USDC', 184719618511), 'oRETRO', 18)]",554471.14
USDC/WETH (0.05%),0xCE67850420c82dB45eb7fEeCcD2d181300D2BDB3,"[((b'pA\xd8\x18\x97\xc83*\x1fh\xa1\x055{Q\x8a\r\x94\x02\xaf@\xd5 ~3\xa9\x18O\xb9\xc0\xd0&', '0xCE67850420c82dB45eb7fEeCcD2d181300D2BDB3', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 205267061517707075005670, [], [], 100, 100, 9800, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 6, 'USDC', 345960436722), ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 223663176204977466108), 'oRETRO', 18)]",790679.28
WBTC/WETH (0.05%),0xb694E3bdd4BCdF843510983D257679D1E627C474,"[((b'\xe1\xc9\xb4H\xffN\xe9+u\xd8\xb8\x17\xe3\x99\xe9\x90\xd9\xa1k/=\xb7(\xf5\xdb\xa5\xc2\x95s~\x8c7', '0xb694E3bdd4BCdF843510983D257679D1E627C474', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 149934837389583418839898, [], [], 100, 100, 9800, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6', 8, 'WBTC', 1919438030), ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 320651374504840367903), 'oRETRO', 18)]",1346643.78
WMATIC/USDT (0.05%),0xB580229645b240A368768ec3E88cb67A41eBBC5B,"[((b'\xcf\x9e\xc2\xec<\xbce\x86\xd7\xebOe_\x08\xc1\xae\xf9\x8f|\x18\xf8\xf3\x83\xe5\x9c\xc2\x9aa\x14\xb13x', '0xB580229645b240A368768ec3E88cb67A41eBBC5B', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 2560039382087120250684, [], [], 3000, 3000, 4000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 7897388128369164807942), ('0xc2132D05D31c914a87C6611C10748AEb04B58e8F', 6, 'USDT', 4161759954), 'oRETRO', 18)]",10141.69
WMATIC/CASH (0.05%),0x63ca6ED3D390C725b7FEb617BAdcab78a61038E8,"[((b'\x85\x03\x06o\x99Ii\xc0\x95\x8b\x80\xf4[\x02J\xcf\x8c\x95\t\xeb\xa4\x0b\xc5\xbc&\n\x0f\xe7\xc1\xf1\xca\xee', '0x63ca6ED3D390C725b7FEb617BAdcab78a61038E8', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 1996432289713130143549, [], [], 3000, 3000, 4000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 6938858117391496029737), ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 6053902042147845802432), 'oRETRO', 18)]",11297.32
CASH/WETH (0.05%),0x0A46B0712974F201BeD15c2458a023EbED25eF4F,"[((b'\xb4\x0c%JU\xdb\x95s&@G\x83\x1d\x18\xc2*\x14\xe9\x04\xd4\rN\x9b\x83<1\x04\x95\xa2\x12s\x9d', '0x0A46B0712974F201BeD15c2458a023EbED25eF4F', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 1061879421262774772953, [], [], 3000, 3000, 4000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 5811586183896030790320), ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 2508287750413936051), 'oRETRO', 18)]",10792.09
USDC/CASH (0.01%),0x619259F699839dD1498FFC22297044462483bD27,"[((b'l\xe1\x7f\xfe\xe4\xab\xb9U\x9d\xe8\xde\x88\x86|q\xbe\x8b\x1fY\xa4\x9d\xa7+v\xdf\xfd%\x0f9z\xf1\x86', '0x619259F699839dD1498FFC22297044462483bD27', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 39252264593683360539201, [], [], 100, 100, 9800, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 6, 'USDC', 128625331910), ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 545612602022323112527002), 'oRETRO', 18)]",673157.59
CASH/USDT (0.01%),0x160FBF00AB5fbF0200c0Cd4929aEaa2AdD25FB5b,"[((b']A\x99\x11p\xb7\xa3\x8dcED\x04\r+\xfbn>&\x84\xf8\xb8\x12sP\xcf\x7fh\xdd\xb2-\xfbt', '0x160FBF00AB5fbF0200c0Cd4929aEaa2AdD25FB5b', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 512268325729815357670, [], [], 3000, 3000, 4000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 2364229452146826636084), ('0xc2132D05D31c914a87C6611C10748AEb04B58e8F', 6, 'USDT', 2304376955), 'oRETRO', 18)]",4664.42
CASH/MaticX (0.05%),0xb98F8DF0DC6750A3e54540A1e094186C8bED780a,"[((b""j\xdf\xfe;\x8d'\xa8\xe7%\xe0\xb3\x01r/W:\xd9_\xd9\xe4\xaa\xa9D\xd4\xd1\x91\x1f\xe5\xf2[\xe9\x83"", '0xb98F8DF0DC6750A3e54540A1e094186C8bED780a', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 743067971770731435493, [], [], 3000, 3000, 4000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 857622485418788535493), ('0xfa68FB4628DFF1028CFEc22b4162FCcd0d45efb6', 18, 'MaticX', 5433352383728247640545), 'oRETRO', 18)]",5334.07
